Plate Map,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Lokey-JAS-01 & AF01,SP40179,N16,PhePDL,PhePDL,0.46875,m,16,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N17,Antamanide,Antamanide,0.46875,m,17,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N18,Cylindrocyclin,Cylindrocyclin,0.46875,m,18,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N19,Cordyheptapeptide B,Cordyheptapeptide B,0.46875,m,19,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N20,Aspergillicin D,Aspergillicin D,0.46875,m,20,14,2.34375
Lokey-JAS-01 & AF01,SP40179,N21,SpecialK B,SpecialK B,0.46875,m,21,14,2.34375
Lokey-JAS-01 & AF01,SP40179,O05,Y6Morph,Y6Morph,0.234375,m,5,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O06,Y6TFMB,Y6TFMB,0.234375,m,6,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O07,Y6Pyr,Y6Pyr,0.234375,m,7,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O08,Y6Iso,Y6Iso,0.234375,m,8,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O09,PhePA,PhePA,0.234375,m,9,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O10,PhePB,PhePB,0.234375,m,10,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O11,PhePC,PhePC,0.234375,m,11,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O12,PhePD,PhePD,0.234375,m,12,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O13,PhePAL,PhePAL,0.234375,m,13,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O14,PhePBL,PhePBL,0.234375,m,14,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O15,PhePCL,PhePCL,0.234375,m,15,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O16,PhePDL,PhePDL,0.234375,m,16,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O17,Antamanide,Antamanide,0.234375,m,17,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O18,Cylindrocyclin,Cylindrocyclin,0.234375,m,18,15,1.171875
